"GEOID","state","total_population","B27010_001M","uninsured","B27010_002M","privately_insured","B27010_003M","publicly_insured","B27010_004M","year","uninsured_rate","private_insurance_rate","public_insurance_rate"
"11","District of Columbia",674258,271,131718,640,120860,1018,53059,1551,2018,19.5352520845136,17.9248892857037,7.86924293074758
"09","Connecticut",3530088,480,805157,1240,738445,2694,450683,4431,2018,22.8084115750089,20.9186003295102,12.7669055275676
"12","Florida",20288268,1724,4391005,2683,3850326,8806,1685243,14359,2018,21.6430747070179,18.9780911805779,8.30649023366608
"13","Georgia",10109427,1677,2648801,2587,2322441,6300,1146712,10946,2018,26.2012970665894,22.9730231001223,11.3429969868718
"16","Idaho",1666375,469,463582,977,407629,2802,213754,4077,2018,27.819788462981,24.4620208536494,12.8274848098417
"15","Hawaii",1370508,893,321404,609,282386,1744,149468,2698,2018,23.4514501192259,20.6044765882432,10.9060290053031
"17","Illinois",12643207,694,3096043,2637,2860817,4584,1620406,10077,2018,24.4877980721189,22.6273049235056,12.8164159615515
"18","Indiana",6538540,467,1666970,1838,1469833,4368,882259,7201,2018,25.4945293597653,22.4795290691806,13.4932110226442
"19","Iowa",3088842,257,773404,1203,688190,2888,416566,3990,2018,25.0386390757442,22.2798705793304,13.4861543581705
"20","Kansas",2849329,726,755149,1135,667546,2827,393751,4225,2018,26.5026958978763,23.4281825650881,13.8190781057575
"21","Kentucky",4357195,636,1069984,1697,963623,3180,486493,6227,2018,24.5567159606123,22.1156730419456,11.1652794974749
"22","Louisiana",4559274,768,1165853,1413,1053952,3902,450740,6244,2018,25.5710229304051,23.1166628722029,9.88622311359221
"23","Maine",1317634,283,271425,567,238880,1607,140593,2503,2018,20.5994229049949,18.1294653902373,10.6701102126994
"24","Maryland",5907173,1089,1420314,1625,1288468,3568,764503,5903,2018,24.0438869828258,21.8119225558486,12.9419436336129
"25","Massachusetts",6756015,478,1482292,1967,1358120,3492,860503,6928,2018,21.9403302094504,20.1023828395881,12.7368426505862
"26","Michigan",9847464,346,2331551,1846,2103302,4747,1223107,8127,2018,23.6766643675976,21.3588188796628,12.4205277622746
"27","Minnesota",5469389,357,1365520,1537,1230564,3192,805360,4889,2018,24.9665913322311,22.499112789381,14.7248623200873
"01","Alabama",4797215,823,1162995,1635,1060267,2892,508556,6206,2019,24.2431285652196,22.1017194351306,10.6010674943691
"02","Alaska",712356,746,192663,450,154041,1654,73461,2122,2019,27.0458871687752,21.6241598301973,10.3123999797854
"04","Arizona",6941028,898,1734235,1839,1488559,5633,772343,7892,2019,24.9852759562416,21.4458002474561,11.1272134329382
"05","Arkansas",2945234,492,743199,1235,665263,3170,274829,4741,2019,25.2339542460803,22.587780801118,9.33131289398398
"06","California",38787337,2350,9538507,3362,8688111,11310,4275713,22289,2019,24.5918068569647,22.3993490452825,11.023476553701
"08","Colorado",5516337,1278,1332894,1630,1198157,3650,659144,5206,2019,24.1626644637556,21.7201559658157,11.9489436559079
"10","Delaware",942219,425,216127,605,191912,1518,110417,2470,2019,22.9380855193962,20.3680885229442,11.7188254535304
"11","District of Columbia",682728,287,133969,741,123202,1382,54771,1391,2019,19.6226022662026,18.0455466891646,8.02237494287623
"09","Connecticut",3524580,494,795327,1334,728973,2659,442773,4924,2019,22.5651566995216,20.6825494101425,12.5624329707369
"12","Florida",20588432,1914,4424249,2959,3891748,7965,1723590,15639,2019,21.4890041164864,18.9025953992028,8.37164287207496
"13","Georgia",10213659,1468,2655417,3247,2325507,7256,1158656,11151,2019,25.9986847025145,22.7685984033734,11.3441813555749
"16","Idaho",1696068,517,465898,1128,413382,2495,216429,3899,2019,27.4692995799697,24.3729614614508,12.7606322388017
"15","Hawaii",1369339,1021,319757,657,279337,1933,148475,2786,2019,23.3511935320618,20.3994043841591,10.8428227049693
"17","Illinois",12591483,632,3058314,2193,2825165,5337,1625766,9702,2019,24.288751372654,22.437110862954,12.9116324105747
"18","Indiana",6566575,451,1665623,1662,1467244,4408,886659,7117,2019,25.3651713412243,22.3441291693158,13.5026098080049
"19","Iowa",3096125,275,771431,1054,687349,2787,416604,4220,2019,24.9160159877266,22.2002987605475,13.4556582825306
"20","Kansas",2851091,783,751193,1193,661998,3513,397471,4692,2019,26.3475630907607,23.2191115611533,13.9410141591412
"21","Kentucky",4366510,563,1067566,1555,962989,3109,486951,6199,2019,24.4489535120726,22.0539744555721,11.1519497264406
